Rk,Player,Age,Team,Lg,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,Pos,Awards,-9999
1,Jarren Duran*,28,BOS,AL,364,.325,102,.329,.149,1.4,23.6,5.8,92.1,47.0,25.8,42.9,24.2,0.76,29.0,53.2,17.9,-0.4,-0.1%,6.15,32.7,75.0,75.0,*7/89DH,,duranja01
2,Rafael Devers*,28,2TM,2LG,360,.385,150,.318,.227,4.4,23.1,16.4,93.8,54.9,23.4,41.6,29.9,0.71,26.6,53.3,20.1,1.0,0.6%,19.43,26.2,50.0,25.0,*D,,deverra01
2,Rafael Devers*,28,BOS,AL,334,.391,154,.322,.232,4.5,22.8,16.8,94.0,55.8,23.7,41.4,29.8,0.71,26.8,53.0,20.2,0.9,0.5%,18.51,26.9,50.0,23.5,*D,,deverra01
2,Rafael Devers*,28,SFG,NL,26,.312,101,.267,.174,3.8,26.9,11.5,91.7,43.8,18.8,43.8,31.3,0.78,25.0,56.3,18.8,0.1,0.0%,0.92,14.3,,50.0,/D,,deverra01
3,Shohei Ohtani*,30,LAD,NL,359,.425,178,.332,.333,7.2,25.6,13.4,95.3,62.0,20.8,43.5,32.9,0.77,42.6,48.6,8.8,3.7,2.7%,28.77,43.9,73.3,39.5,*D/1,,ohtansh01
4,Jackson Chourio,21,MIL,NL,351,.325,104,.292,.191,3.4,20.5,3.7,86.6,37.7,25.7,41.5,22.6,0.72,23.0,54.3,22.6,-0.4,-0.2%,-2.10,43.2,75.0,60.7,*879/D,,chourja01
5,Brent Rooker,30,ATH,AL,350,.366,135,.317,.208,4.3,21.1,10.0,91.8,47.3,25.9,38.9,28.9,0.64,29.7,54.4,15.9,0.5,0.0%,3.80,30.6,66.7,40.9,*D/97H,,rookebr01
6,Bo Bichette,27,TOR,AL,349,.337,113,.305,.166,3.2,15.8,5.4,91.3,49.6,26.7,47.3,21.6,0.90,18.3,57.5,24.2,1.5,1.0%,9.47,25.7,57.1,25.8,*6/DH,,bichebo01
7,Francisco Lindor#,31,NYM,NL,349,.361,132,.289,.201,4.6,17.8,8.0,90.3,45.0,21.9,42.6,27.1,0.75,34.0,52.4,13.6,1.8,1.5%,9.26,31.7,86.7,65.0,*6/DH,,lindofr01
8,Juan Soto*,26,NYM,NL,348,.395,158,.256,.233,4.9,15.8,18.4,94.1,56.4,21.9,47.4,25.9,0.91,36.8,48.7,14.5,1.5,1.0%,18.41,31.9,88.9,48.5,*9/D,,sotoju01
9,James Wood*,22,WSN,NL,348,.406,167,.337,.284,6.3,26.4,13.2,94.2,58.7,22.5,50.7,24.9,1.03,26.8,52.6,20.6,2.9,0.6%,26.80,25.5,69.2,33.3,*7D,,woodja03
10,Pete Alonso,30,NYM,NL,347,.395,163,.330,.263,5.2,22.8,10.7,94.3,54.8,27.1,36.2,29.4,0.57,29.9,48.4,21.7,2.9,2.0%,21.48,21.9,0.0,41.7,*3,,alonspe01
11,Aaron Judge,33,NYY,AL,346,.493,235,.448,.367,8.1,25.4,15.3,95.3,55.4,23.8,36.1,36.6,0.57,28.2,54.0,17.8,2.9,2.0%,41.90,29.9,66.7,26.1,*9D/H,,judgeaa01
12,Kyle Schwarber*,32,PHI,NL,345,.398,150,.272,.291,7.0,25.5,15.9,94.1,58.9,21.8,36.0,35.0,0.56,44.2,44.7,11.2,1.9,0.9%,18.41,30.8,85.7,31.3,*D/7,,schwaky01
13,Julio Rodríguez,24,SEA,AL,343,.331,118,.294,.159,3.2,20.1,6.4,90.6,43.7,18.7,49.6,24.8,0.98,22.8,62.2,15.0,-0.2,0.0%,0.63,38.1,80.0,50.0,*8/H,,rodriju01
14,Kyle Tucker*,28,CHC,NL,343,.403,160,.292,.240,4.4,14.3,14.9,91.1,45.2,27.0,29.0,36.1,0.41,38.6,45.6,15.8,2.6,1.8%,27.80,33.6,94.7,35.5,*9D/H,,tuckeky01
15,Austin Riley,28,ATL,NL,342,.336,110,.359,.161,3.5,28.1,6.4,92.5,50.7,27.6,33.0,31.7,0.49,28.1,56.6,15.4,-1.0,-0.4%,0.22,32.0,66.7,32.4,*5,,rileyau01
16,Trea Turner,32,PHI,NL,342,.364,122,.339,.150,2.6,15.8,7.0,89.1,39.8,25.0,43.8,26.9,0.78,27.3,54.6,18.1,1.2,1.0%,8.74,39.8,79.2,53.6,*6/H,,turnetr01
17,Elly De La Cruz#,23,CIN,NL,339,.377,128,.323,.242,5.3,25.7,10.0,91.5,48.1,17.1,53.7,24.5,1.17,32.9,49.5,17.6,1.3,0.5%,18.33,44.0,77.8,78.1,*6/DH,,delacel01
18,Geraldo Perdomo#,25,ARI,NL,339,.347,113,.267,.153,2.4,11.5,13.0,86.3,32.7,24.5,37.9,26.9,0.65,31.2,45.8,22.9,0.5,0.2%,10.17,29.5,91.7,52.9,*6/H,,perdoge01
19,Bobby Witt Jr.,25,KCR,AL,338,.366,131,.324,.204,3.0,18.0,7.7,93.6,50.4,29.4,35.1,27.8,0.54,22.2,54.0,23.8,1.4,0.7%,16.16,30.2,77.8,61.9,*6/D,,wittbo02
20,Lars Nootbaar*,27,STL,NL,337,.318,100,.271,.149,3.0,21.7,12.8,92.1,53.0,27.6,34.6,27.2,0.53,32.3,52.5,15.2,-0.3,-0.2%,-1.46,31.1,50.0,51.5,*79/8DH,,nootbla01
21,Matt Olson*,31,ATL,NL,337,.363,129,.289,.225,4.5,22.6,13.9,93.7,53.3,22.2,42.9,27.4,0.75,34.0,46.2,19.8,1.0,0.2%,12.34,28.3,,31.0,*3,,olsonma02
22,Jeremy Peña,27,HOU,AL,335,.385,144,.365,.168,3.3,16.1,5.7,87.6,41.3,24.5,48.2,21.3,0.95,33.6,49.0,17.4,1.4,1.1%,20.68,31.0,88.2,57.7,*6/DH,,penaje02
23,TJ Friedl*,29,CIN,NL,334,.370,126,.330,.143,2.4,15.6,11.4,83.7,30.4,25.0,40.4,20.0,0.75,44.6,44.6,10.8,1.0,0.5%,11.82,33.1,75.0,53.1,*8/DH,,friedtj01
24,Vladimir Guerrero Jr.,26,TOR,AL,334,.357,128,.303,.163,3.0,14.1,13.5,93.6,55.1,27.3,46.2,21.8,0.86,24.8,52.1,23.1,1.4,0.9%,17.72,28.8,50.0,35.7,*3/DH,,guerrvl02
25,Cal Raleigh#,28,SEA,AL,334,.439,200,.276,.387,9.6,24.9,13.5,92.0,49.5,21.8,25.7,40.1,0.35,48.0,38.6,13.4,3.4,2.4%,32.67,26.0,81.8,15.6,*2D/H,,raleica01
26,Fernando Tatis Jr.,26,SDP,NL,334,.380,136,.288,.199,4.5,17.7,11.1,93.8,53.0,19.7,50.4,24.8,1.02,21.8,61.5,16.7,1.9,1.3%,18.58,40.4,88.2,47.4,*9/D,,tatisfe02
27,Heliot Ramos,25,SFG,NL,332,.361,138,.341,.189,3.9,23.2,8.4,91.0,44.7,22.9,48.2,23.4,0.93,21.6,59.2,19.3,1.4,1.0%,10.74,32.7,55.6,50.0,*7/D,,ramoshe02
28,Willy Adames,29,SFG,NL,331,.288,85,.258,.139,2.7,26.0,10.9,88.7,42.9,17.4,36.7,34.8,0.58,27.1,54.1,18.8,0.3,0.2%,-5.26,37.5,60.0,44.4,*6/D,,adamewi01
29,Lawrence Butler*,24,ATH,AL,331,.340,114,.340,.191,3.3,28.1,8.2,91.4,46.0,27.0,44.1,24.6,0.79,28.0,50.7,21.3,-0.9,-0.5%,0.37,34.7,78.6,52.9,*9/8H,,butlela01
30,Manny Machado,32,SDP,NL,331,.377,137,.330,.199,3.9,16.3,9.4,92.5,50.8,26.8,39.8,24.0,0.66,24.4,54.9,20.7,1.2,0.9%,13.64,36.1,80.0,37.5,*5/D,,machama01
31,Tyler Soderstrom*,23,ATH,AL,331,.340,113,.300,.188,4.2,24.2,10.0,91.2,47.7,22.4,46.3,27.1,0.87,32.7,50.9,16.4,0.6,0.4%,3.34,27.8,100.0,37.9,37/HD,,soderty01
32,Ozzie Albies#,28,ATL,NL,330,.290,74,.257,.104,1.8,17.0,8.5,86.7,26.7,23.5,35.0,30.5,0.54,39.9,46.1,14.0,-2.2,-0.9%,-7.21,30.4,87.5,72.0,*4,,albieoz01
