Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Jarren Duran*,28,BOS,AL,1.2,79,364,335,40,86,19,8,5,38,15,5,21,86,.257,.309,.406,.715,98,.325,102,136,3,5,1,2,0,*7/89DH,,duranja01
2,Rafael Devers*,28,2TM,2LG,2.4,79,360,295,49,79,19,0,16,61,1,1,59,83,.268,.394,.495,.889,148,.385,150,146,7,4,0,2,7,*D,,deverra01
3,Rafael Devers*,28,BOS,AL,2.3,73,334,272,47,74,18,0,15,58,1,1,56,76,.272,.401,.504,.905,152,.391,154,137,7,4,0,2,7,*D,,deverra01
4,Rafael Devers*,28,SFG,NL,0.0,6,26,23,2,5,1,0,1,3,0,0,3,7,.217,.308,.391,.699,100,.312,101,9,0,0,0,0,0,/D,,deverra01
5,Shohei Ohtani*,30,LAD,NL,3.6,77,359,306,76,89,12,6,26,49,11,4,48,92,.291,.390,.624,1.014,182,.425,178,191,4,3,0,2,9,*D/1,,ohtansh01
6,Jackson Chourio,21,MIL,NL,1.1,78,351,335,50,86,22,3,12,46,15,5,13,72,.257,.285,.448,.733,104,.325,104,150,10,1,0,2,0,*879/D,,chourja01
7,Brent Rooker,30,ATH,AL,1.5,80,350,313,48,86,16,2,15,41,2,1,35,74,.275,.351,.482,.834,131,.366,135,151,7,2,0,0,0,*D/97H,,rookebr01
8,Bo Bichette,27,TOR,AL,1.3,77,349,326,37,91,19,1,11,48,4,3,19,55,.279,.321,.445,.766,111,.337,113,145,7,2,0,2,1,*6/DH,,bichebo01
9,Francisco Lindor#,31,NYM,NL,2.9,77,349,308,49,84,14,0,16,42,13,2,28,62,.273,.344,.474,.818,133,.361,132,146,5,8,0,5,2,*6/DH,,lindofr01
10,Juan Soto*,26,NYM,NL,3.2,78,348,279,55,71,14,0,17,43,8,1,64,55,.254,.391,.487,.878,152,.395,158,136,14,1,0,4,5,*9/D,,sotoju01
11,James Wood*,22,WSN,NL,3.9,79,348,299,50,85,19,0,22,61,9,4,46,92,.284,.379,.569,.948,167,.406,167,170,5,1,0,2,3,*7D,,woodja03
12,Pete Alonso,30,NYM,NL,2.7,79,347,297,43,85,22,1,18,64,0,2,37,79,.286,.380,.549,.929,164,.395,163,163,12,10,0,3,2,*3,,alonspe01
13,Aaron Judge,33,NYY,AL,5.6,78,346,289,68,106,18,2,28,62,6,3,53,88,.367,.468,.734,1.202,231,.493,235,212,8,3,0,1,17,*9D/H,,judgeaa01
14,Kyle Schwarber*,32,PHI,NL,2.4,78,345,285,57,71,9,1,24,55,6,1,55,88,.249,.380,.540,.920,150,.398,150,154,1,5,0,0,5,*D/7,,schwaky01
15,Julio Rodríguez,24,SEA,AL,3.4,76,343,315,48,80,11,3,11,39,12,3,22,69,.254,.315,.413,.728,113,.331,118,130,8,6,0,0,1,*8/H,,rodriju01
16,Kyle Tucker*,28,CHC,NL,3.4,77,343,288,55,81,16,4,15,46,18,1,51,49,.281,.391,.521,.912,160,.403,160,150,5,2,0,2,7,*9D/H,,tuckeky01
17,Austin Riley,28,ATL,NL,1.1,77,342,316,44,87,13,1,12,40,2,1,22,96,.275,.327,.437,.764,111,.336,110,138,6,3,0,1,1,*5,,rileyau01
18,Trea Turner,32,PHI,NL,2.5,76,342,313,54,94,16,2,9,35,19,5,24,54,.300,.357,.450,.807,121,.364,122,141,4,4,0,1,0,*6/H,,turnetr01
19,Elly De La Cruz#,23,CIN,NL,2.7,79,339,302,62,82,15,2,18,55,21,6,34,87,.272,.348,.513,.861,129,.377,128,155,4,2,0,1,5,*6/DH,,delacel01
20,Geraldo Perdomo#,25,ARI,NL,1.8,77,339,281,41,73,17,1,8,52,11,1,44,39,.260,.356,.413,.769,114,.347,113,116,6,3,2,9,0,*6/H,,perdoge01
21,Bobby Witt Jr.,25,KCR,AL,3.6,78,338,304,42,87,26,3,10,40,21,6,26,61,.286,.343,.490,.833,131,.366,131,149,1,3,0,5,6,*6/D,,wittbo02
22,Lars Nootbaar*,27,STL,NL,1.1,75,337,288,42,66,13,0,10,33,4,4,43,73,.229,.335,.378,.714,100,.318,100,109,4,4,0,2,2,*79/8DH,,nootbla01
23,Matt Olson*,31,ATL,NL,3.0,77,337,285,45,72,19,0,15,49,0,0,47,76,.253,.359,.477,.836,131,.363,129,136,9,2,0,3,1,*3,,olsonma02
24,Jeremy Peña,27,HOU,AL,4.5,78,335,304,47,99,16,1,11,40,15,2,19,54,.326,.380,.493,.874,144,.385,144,150,5,9,1,2,1,*6/DH,,penaje02
25,TJ Friedl*,29,CIN,NL,2.4,75,334,287,47,84,13,2,8,30,9,3,38,52,.293,.380,.436,.815,120,.370,126,125,4,4,2,3,0,*8/DH,,friedtj01
26,Vladimir Guerrero Jr.,26,TOR,AL,2.2,76,334,283,44,79,16,0,10,39,2,2,45,47,.279,.383,.442,.825,130,.357,128,125,4,4,0,2,5,*3/DH,,guerrvl02
27,Cal Raleigh#,28,SEA,AL,4.4,76,334,284,57,79,14,0,32,68,9,2,45,83,.278,.383,.665,1.049,202,.439,200,189,3,4,0,1,5,*2D/H,,raleica01
28,Fernando Tatis Jr.,26,SDP,NL,3.6,76,334,292,57,78,11,1,15,37,15,2,37,59,.267,.356,.466,.822,127,.380,136,136,4,4,0,1,3,*9/D,,tatisfe02
29,Heliot Ramos,25,SFG,NL,1.8,76,332,291,48,83,14,1,13,43,5,4,28,77,.285,.361,.474,.836,139,.361,138,138,8,9,0,4,1,*7/D,,ramoshe02
30,Willy Adames,29,SFG,NL,0.1,77,331,288,42,60,11,1,9,33,3,2,36,86,.208,.294,.347,.641,84,.288,85,100,4,1,0,5,1,*6/D,,adamewi01
31,Lawrence Butler*,24,ATH,AL,1.6,75,331,304,44,79,23,1,11,32,11,3,27,93,.260,.320,.451,.771,114,.340,114,137,2,0,0,0,0,*9/8H,,butlela01
32,Manny Machado,32,SDP,NL,2.9,78,331,297,52,90,20,0,13,47,8,2,31,54,.303,.366,.502,.867,139,.377,137,149,9,0,0,3,1,*5/D,,machama01
33,Tyler Soderstrom*,23,ATH,AL,1.1,79,331,293,41,74,11,1,14,45,5,0,33,80,.253,.335,.440,.776,116,.340,113,129,11,4,0,1,1,37/HD,,soderty01
34,Ozzie Albies#,28,ATL,NL,0.6,77,330,298,34,67,11,1,6,27,7,1,28,56,.225,.297,.329,.626,74,.290,74,98,3,3,0,1,0,*4,,albieoz01
35,Nathaniel Lowe*,29,WSN,NL,0.2,79,329,298,33,69,12,0,13,52,1,0,28,88,.232,.298,.403,.701,98,.308,96,120,4,1,0,2,0,*3/DH,,lowena01
36,Seiya Suzuki,30,CHC,NL,1.6,74,328,297,41,76,19,2,20,64,2,2,26,88,.256,.311,.535,.846,139,.364,140,159,7,0,0,5,0,D97,,suzukse01
37,Randy Arozarena,30,SEA,AL,2.7,75,327,275,35,66,19,1,8,31,14,0,38,90,.240,.358,.404,.761,125,.354,131,111,3,13,0,1,0,*7/D,,arozara01
38,Brice Turang*,25,MIL,NL,2.9,76,326,285,50,78,11,0,5,31,16,6,35,72,.274,.351,.365,.716,104,.335,111,104,1,1,1,4,0,*4/H,,turanbr02
39,Taylor Ward,31,LAA,AL,0.6,76,326,291,43,61,15,1,19,53,1,1,29,86,.210,.279,.464,.743,104,.322,104,135,7,1,0,5,1,*7/D,,wardta01
40,Marcell Ozuna,34,ATL,NL,1.3,74,325,264,33,66,10,0,11,40,0,0,55,74,.250,.378,.413,.791,121,.362,128,109,7,2,0,4,2,*D,,ozunama01
41,Ian Happ#,30,CHC,NL,1.8,69,324,281,49,69,14,0,11,38,4,1,39,73,.246,.336,.413,.749,115,.337,118,116,5,1,0,3,0,*7/D,,happia01
42,Vinnie Pasquantino*,27,KCR,AL,1.0,77,324,296,31,79,7,1,11,41,1,0,23,52,.267,.327,.409,.736,105,.327,106,121,2,4,0,1,3,*3D,,pasquvi01
